Points ,GP,Goals,xG,Shots,Shots on target %,Passes,Passes %,Possession %,Losses ,Recoveries,Duels ,Duels won %,Shots against,Shot against on target %,Shots against on target,Aerial duels,Aerial duels won %,Forward passes,Forward passes accurate %,Back passes,Back passes accurate %,Average passes per possession,Average passes per possession
17,12,1.92,1.4,13.67,36%,472,86.4,49.39,96.83,76.58,201.42,48.9,13,39.8,5.17,27.33,47.9,152.42,77.20%,72.5,96.30%,4.82,4.82
21,12,1.75,1.17,12.5,39.4,525.5,85.7,56.64,105.08,80.58,198.58,49.6,14.17,31.2,4.42,21.58,49.6,168.25,75.5,87.33,94.1,4.87,4.87
16,13,1.62,1.38,12.92,33.4,374.31,81.3,42.43,102.54,82,204.38,46.5,12.92,32.7,4.22,32,46.2,129.15,72.7,56.38,92.1,3.61,3.61
15,12,1.33,1.84,14.5,31,492.67,86.4,53.21,96.17,80.58,204.33,50.4,12.92,32.9,4.25,30.17,50,154.17,76.8,82.83,95.9,4.74,4.74
15,12,1.58,2.08,13.42,37.3,440.83,84.4,48.05,98.75,81.92,214.33,50,13.17,37.4,4.93,37.33,48,132.67,74.7,71.17,94.5,4.25,4.25
14,12,1.25,1.13,11.17,34.3,470.25,85.1,48.17,99.92,78.17,205.42,45.4,13.17,39.9,5.25,28.67,44.2,154.17,74.7,75.67,96,4.38,4.38
14,12,1.08,1.32,13.75,30.9,450.25,84.4,51.09,103.42,76.75,231.75,48.5,12.58,37.8,4.76,33.17,44,156.08,76.1,67.25,94.8,4,4
11,12,1.25,1.11,10.75,35.6,430.92,84.2,49.39,101.42,72.5,198.67,46.9,13.83,45.2,6.25,33.33,44.5,139.92,72.1,75.17,95.9,4.14,4.14
20,13,1.85,1.69,15.92,33.4,524.77,86.8,57.13,93.77,79.08,208.23,49.8,13.08,35.3,4.62,24.08,49.2,159.38,81.6,85,95.6,4.89,4.89
32,13,2.62,2.32,16.92,39.5,625.69,88.7,60.29,97.38,77.85,194.69,50.4,8.46,31,2.62,28.15,50.6,192.15,82.7,106.62,95.3,6.02,6.02
25,12,2,1.65,13.83,35.6,490.92,85.6,50.66,101,86.75,218.33,48.7,10.67,33.6,3.59,27.42,44.4,155.92,78.1,77.75,94.4,4.78,4.78
23,13,1.69,1.57,11.23,35.6,436.15,83,49.32,115.08,83.38,230.54,46.4,12.23,30.8,3.77,37.85,45.7,154.62,73.6,74.23,94.6,3.97,3.97
21,12,1.33,1.41,12.67,36.9,392.25,81.2,45.14,110.67,86.17,220.92,46.4,12.92,31,4.01,40.58,46,130.17,69.5,56.83,94.6,3.82,3.82
10,12,1.42,1.19,10.08,40.5,504.42,86.3,49.87,100.92,74.75,195.92,47.3,15.33,41.3,6.33,32.58,44.5,149.08,76.8,86.42,95.5,5.05,5.05
18,12,1.42,1.08,7.17,39.5,299.58,79.4,35.07,107.67,78.83,221.67,43.9,17,35.3,6.00,39.92,38,108.58,65.1,47.17,94,2.98,2.98
8,12,0.67,2.02,15.5,30.6,503.42,84.1,53.4,113.67,96,231.33,49.1,11.42,48.2,5.50,31,44.4,169.42,75.7,73.33,95.6,4.49,4.49
